"";"IdadeT";"SEXO";"icsap_n";"it_n";"icsap_prop"
"151";75;1;15463;40512;0,381689375987362
"152";75;3;16758;40786;0,41087628107684
"153";76;1;14421;37366;0,385939089011401
"154";76;3;15585;37824;0,412039974619289
"155";77;1;14935;37225;0,401208865010074
"156";77;3;15909;37692;0,422078955746577
"157";78;1;14424;35453;0,406848503652723
"158";78;3;16039;37724;0,425167002438766
"159";79;1;13868;34140;0,406209724663152
"160";79;3;15687;36814;0,426115064920954
"161";80;1;13404;32254;0,41557636262169
"162";80;3;15382;35434;0,434102839081109
"163";81;1;12042;28411;0,423849917285558
"164";81;3;13772;31759;0,433640857709626
"165";82;1;11218;26041;0,430782228025037
"166";82;3;12949;29626;0,437082292580841
"167";83;1;9997;23912;0,418074606891937
"168";83;3;12302;27797;0,442565744504803
"169";84;1;9291;21264;0,436935665914221
"170";84;3;11271;25510;0,441826734613877
"171";85;1;8298;18999;0,436759829464709
"172";85;3;10675;23661;0,451164363298254
"173";86;1;7194;16354;0,439892381068852
"174";86;3;9204;20321;0,452930466020373
"175";87;1;6221;14086;0,441644185716314
"176";87;3;7950;17892;0,444332662642522
"177";88;1;5204;11762;0,442441761605169
"178";88;3;6794;15277;0,444720822150946
"179";89;1;4409;9623;0,458173126883508
"180";89;3;5939;13177;0,450709569704789
"181";90;1;3785;8390;0,451132300357569
"182";90;3;5296;11779;0,449613719331013
"183";91;1;3033;6634;0,457190232137474
"184";91;3;4443;9714;0,457381099444101
"185";92;1;2567;5575;0,460448430493274
"186";92;3;3683;8273;0,445183125831017
"187";93;1;2014;4257;0,473103124265915
"188";93;3;2940;6568;0,44762484774665
"189";94;1;1627;3578;0,454723309111235
"190";94;3;2506;5708;0,439032936229853
"191";95;1;1263;2697;0,468298109010011
"192";95;3;2007;4497;0,446297531687792
"193";96;1;966;2011;0,480358030830433
"194";96;3;1515;3231;0,468895078922934
"195";97;1;695;1561;0,445227418321589
"196";97;3;1145;2518;0,45472597299444
"197";98;1;515;1143;0,450568678915136
"198";98;3;822;1891;0,434690639873083
"199";99;1;439;904;0,485619469026549
"200";99;3;725;1615;0,448916408668731
"201";100;1;388;857;0,452742123687281
"202";100;3;560;1274;0,43956043956044
"203";101;1;158;353;0,447592067988669
"204";101;3;258;605;0,426446280991736
"205";102;1;109;237;0,459915611814346
"206";102;3;217;500;0,434
"207";103;1;69;170;0,405882352941176
"208";103;3;246;519;0,473988439306358
"209";104;1;70;164;0,426829268292683
"210";104;3;153;378;0,404761904761905
"211";105;1;33;77;0,428571428571429
"212";105;3;96;223;0,430493273542601
"213";106;1;21;39;0,538461538461538
"214";106;3;50;100;0,5
"215";107;1;18;35;0,514285714285714
"216";107;3;31;77;0,402597402597403
"217";108;1;5;23;0,217391304347826
"218";108;3;20;48;0,416666666666667
"219";109;1;9;40;0,225
"220";109;3;22;48;0,458333333333333
"221";110;1;21;98;0,214285714285714
"222";110;3;26;86;0,302325581395349
"223";112;3;0;1;0
