"";"SEXO";"IdadeT";"ICSAPn";"ITn";"ICSAPprop"
"134";3;22;12708;84114;0,151080676225123
"135";3;23;12463;82989;0,150176529419562
"136";3;24;12255;84017;0,145863337181761
"137";3;25;11896;84309;0,141100001186113
"138";3;26;11779;83531;0,14101351594019
"139";3;27;11889;86601;0,137284788859251
"140";3;28;11653;85771;0,135861771461217
"141";3;29;10988;80832;0,135936262866192
"142";3;30;11011;80430;0,136901653611836
"143";3;31;10420;76331;0,136510723035202
"144";3;32;10132;73536;0,137782854656223
"145";3;33;9410;69221;0,135941405064937
"146";3;34;9577;67616;0,14163807382868
"147";3;35;9327;66087;0,141132143992011
"148";3;36;8927;63223;0,141198614428294
"149";3;37;9036;62748;0,144004589787722
"150";3;38;8681;60117;0,144401749920987
"151";3;39;8890;59253;0,150034597404351
"152";3;40;9154;59811;0,15304877029309
"153";3;41;9531;59059;0,161380991889466
"154";3;42;9789;58391;0,167645698823449
"155";3;43;9854;57756;0,170614308470116
"156";3;44;10236;58161;0,175994222932893
"157";3;45;10671;58340;0,182910524511484
"158";3;46;11177;59121;0,189052959185399
"159";3;47;11106;57987;0,191525686791867
"160";3;48;11135;56417;0,197369587181169
"161";3;49;11697;55847;0,209447239780114
"162";3;50;12588;56282;0,223659429302441
"163";3;51;12594;54716;0,230170334088749
"164";3;52;13209;55534;0,237854287463536
"165";3;53;13111;52843;0,248112332759306
"166";3;54;13277;52085;0,254910242872228
"167";3;55;13131;50767;0,258652274115075
"168";3;56;13961;50969;0,273911593321431
"169";3;57;13686;49257;0,277848833668311
"170";3;58;14076;49505;0,284334915665084
"171";3;59;14285;48890;0,292186541214972
"172";3;60;15165;49293;0,30765017345262
"173";3;61;14415;47221;0,305266724550518
"174";3;62;15453;47972;0,322125406487117
"175";3;63;15161;46717;0,324528544213027
"176";3;64;14921;44793;0,333110084164936
"177";3;65;15362;45178;0,340032759307628
"178";3;66;16304;46448;0,351016190148123
"179";3;67;15999;44801;0,357112564451686
"180";3;68;15328;42430;0,361253829837379
"181";3;69;16142;43129;0,374272531243479
"182";3;70;17892;46938;0,38118368912182
"183";3;71;17061;44242;0,385629040278468
"184";3;72;16670;42630;0,391039174290406
"185";3;73;17064;42563;0,400911589878533
"186";3;74;18179;44404;0,409400054049185
"187";3;75;16758;40786;0,41087628107684
"188";3;76;15585;37824;0,412039974619289
"189";3;77;15909;37692;0,422078955746577
"190";3;78;16039;37724;0,425167002438766
"191";3;79;15687;36814;0,426115064920954
"192";3;80;15382;35434;0,434102839081109
"193";3;81;13772;31759;0,433640857709626
"194";3;82;12949;29626;0,437082292580841
"195";3;83;12302;27797;0,442565744504803
"196";3;84;11271;25510;0,441826734613877
"197";3;85;10675;23661;0,451164363298254
"198";3;86;9204;20321;0,452930466020373
"199";3;87;7950;17892;0,444332662642522
"200";3;88;6794;15277;0,444720822150946
"201";3;89;5939;13177;0,450709569704789
"202";3;90;5296;11779;0,449613719331013
"203";3;91;4443;9714;0,457381099444101
"204";3;92;3683;8273;0,445183125831017
"205";3;93;2940;6568;0,44762484774665
"206";3;94;2506;5708;0,439032936229853
"207";3;95;2007;4497;0,446297531687792
"208";3;96;1515;3231;0,468895078922934
