"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"439";"251396";1;1
"440";"432163";98,25;98,5
"441";"311500";64,75;66,5
"442";"354085";23,25;23,5
"443";"410115";168,25;164,5
"444";"354450";179;177,5
"445";"270700";56;56
"446";"313000";256,25;255
"447";"430635";18,5;18
"448";"431643";182,5;172
"449";"241500";35,25;35,5
"450";"431937";53,25;53
"451";"240390";24,75;24,5
"452";"410105";96,5;96,5
"453";"220415";6,5;6
"454";"521030";35;34,5
"455";"421125";84,5;77,5
"456";"171888";5,25;5
"457";"240920";14,5;13
"458";"421568";48,75;49
"459";"310440";201;201,5
"460";"420208";58,5;58,5
"461";"521950";44;44,5
"462";"172025";32;30
"463";"421885";107,5;106,5
"464";"310140";208,25;208,5
"465";"432183";18,5;18,5
"466";"430057";415,25;418
"467";"171720";6,5;6,5
"468";"431805";143,75;143
"469";"251060";24,75;25
"470";"500390";91,75;91,5
"471";"280250";288;288,5
"472";"520630";82;82,5
"473";"250620";29,5;29,5
"474";"522157";10;10
"475";"353715";277,5;277
"476";"521645";35;35,5
"477";"510885";143,25;145
"478";"432149";33,5;34,5
"479";"430957";115;116
"480";"280730";47,25;48,5
"481";"315330";36,75;36
"482";"220535";1;1
"483";"312735";56,75;61
"484";"520660";240;234,5
"485";"430511";93;96
"486";"432132";41,25;40,5
"487";"314040";69,25;67
"488";"430697";58,75;58
"489";"311690";171,25;176,5
"490";"280500";29,25;29
"491";"241160";62,5;62
"492";"251570";7;7
"493";"221039";0;0
"494";"240040";10,5;10,5
"495";"311960";363;363
"496";"221150";4;4
"497";"411030";389,75;388,5
"498";"421260";417,5;419
"499";"431261";77,75;80
"500";"313500";247,5;243
"501";"421985";2625,5;2621
"502";"510726";54,5;54,5
"503";"312280";215,25;216
"504";"350150";97,75;98
"505";"521200";34;34
"506";"351590";798,5;796,5
"507";"431173";5;5
"508";"430495";75,75;76
"509";"421590";189;189,5
"510";"411160";516,75;518
"511";"432023";122,5;122,5
"512";"312150";68,5;67,5
"513";"522108";26;26
"514";"420517";58,25;37,5
"515";"351512";313;312
"516";"431036";533,5;527
"517";"510617";2,25;2
"518";"312580";108,5;109
"519";"355130";969;948,5
"520";"250375";6,75;7
"521";"432320";93,75;95
"522";"220080";25,75;26
"523";"510835";1;1
"524";"312737";37,5;37
"525";"314580";95,75;100,5
"526";"312550";50,75;50,5
"527";"241060";25,5;25,5
"528";"430637";46,25;46
"529";"353320";1070,25;1108,5
"530";"220960";34,75;35
"531";"522180";129,75;129,5
"532";"250205";7;7
"533";"221160";6,75;7
"534";"430695";149,5;152,5
"535";"220860";19,5;19
"536";"430705";166,5;165
"537";"430185";371,25;379,5
"538";"431237";33,25;33
"539";"430465";7,25;7
"540";"350500";43;43
"541";"351492";856,25;864
"542";"170305";82,5;82,5
"543";"312000";53,5;53,5
"544";"411435";107,25;110
"545";"510395";178,25;173
"546";"316805";3;3
"547";"521920";32,75;32
"548";"421300";632,25;632
"549";"171395";2;2
"550";"171280";9;10
"551";"311040";69;70,5
"552";"314420";64,5;66
"553";"250650";27,5;28
"554";"352540";502,5;502
"555";"410685";47;47
"556";"241070";46;45
