"";"MUNIC_RES";"n";"total";"prop"
"174";150160;119;408;0,291666666666667
"175";150170;2025;9348;0,216623876765083
"176";150172;1155;2343;0,492957746478873
"177";150175;248;459;0,540305010893246
"178";150178;489;1516;0,322559366754617
"179";150180;867;3499;0,247785081451843
"180";150190;1364;2272;0,600352112676056
"181";150195;125;632;0,197784810126582
"182";150200;533;1121;0,475468331846566
"183";150210;1995;5324;0,374718256949662
"184";150215;353;1018;0,346758349705305
"185";150220;1287;3815;0,33735255570118
"186";150230;2576;5003;0,514891065360784
"187";150240;1602;9707;0,165035541361904
"188";150250;28;124;0,225806451612903
"189";150260;71;268;0,264925373134328
"190";150270;1465;3905;0,375160051216389
"191";150275;389;918;0,423747276688453
"192";150276;282;694;0,406340057636888
"193";150277;699;1314;0,531963470319635
"194";150280;385;1242;0,309983896940419
"195";150285;67;197;0,34010152284264
"196";150290;515;1531;0,336381450032658
"197";150293;1829;3685;0,496336499321574
"198";150295;1400;2558;0,547302580140735
"199";150300;50;94;0,531914893617021
"200";150304;430;1250;0,344
"201";150307;240;874;0,274599542334096
"202";150309;753;1845;0,408130081300813
"203";150310;362;1021;0,354554358472086
"204";150320;596;1868;0,319057815845824
"205";150330;2986;7013;0,425780692998717
"206";150340;424;827;0,512696493349456
"207";150345;1270;2708;0,468980797636632
"208";150350;715;1903;0,375722543352601
"209";150360;2485;5738;0,433077727431161
"210";150370;505;1464;0,344945355191257
"211";150375;310;502;0,617529880478088
"212";150380;2774;5160;0,537596899224806
"213";150390;296;1383;0,214027476500362
"214";150400;1241;1899;0,653501843075303
"215";150405;1253;2583;0,485094850948509
"216";150410;40;208;0,192307692307692
"217";150420;1119;6608;0,1693401937046
"218";150430;799;1877;0,425679275439531
"219";150440;479;1265;0,378656126482213
"220";150442;1271;5393;0,235675876135732
"221";150445;616;2029;0,303597831444061
"222";150450;223;547;0,407678244972578
"223";150460;533;1103;0,483227561196736
"224";150470;931;3708;0,251078748651564
"225";150480;1117;3426;0,326036193812026
"226";150490;505;1443;0,34996534996535
"227";150495;740;1671;0,442848593656493
"228";150497;35;227;0,154185022026432
"229";150500;93;394;0,236040609137056
"230";150503;459;1469;0,312457454050374
"231";150506;1143;2411;0,474077146412277
"232";150510;1971;3108;0,634169884169884
"233";150520;215;618;0,34789644012945
"234";150530;770;2272;0,338908450704225
"235";150540;274;919;0,298150163220892
"236";150543;1627;2349;0,692635163899532
"237";150548;425;1289;0,329712955779674
"238";150549;279;620;0,45
"239";150550;712;3291;0,216347614706776
"240";150553;807;4213;0,191549964395917
"241";150555;346;789;0,438529784537389
"242";150560;63;263;0,239543726235741
"243";150563;413;915;0,451366120218579
"244";150565;305;810;0,376543209876543
"245";150570;370;822;0,450121654501217
"246";150580;384;1546;0,248382923673997
"247";150590;715;2034;0,351524090462144
"248";150600;510;1150;0,443478260869565
"249";150610;119;432;0,275462962962963
"250";150611;65;312;0,208333333333333
"251";150613;1682;5479;0,306990326701953
"252";150616;784;2013;0,389468455042226
"253";150618;3079;5759;0,534641430803959
"254";150619;553;1317;0,419893697798026
"255";150620;651;2220;0,293243243243243
"256";150630;471;978;0,48159509202454
"257";150635;126;646;0,195046439628483
"258";150640;52;113;0,460176991150442
"259";150650;2900;4822;0,601410203235172
"260";150655;198;773;0,25614489003881
"261";150658;414;861;0,480836236933798
"262";150660;976;2670;0,365543071161049
"263";150670;1307;2498;0,523218574859888
"264";150680;1951;10553;0,184876338481948
"265";150690;45;245;0,183673469387755
"266";150700;2180;3237;0,673463083101637
"267";150710;81;347;0,23342939481268
"268";150715;996;1722;0,578397212543554
"269";150720;653;1557;0,419396274887604
"270";150730;1489;3615;0,411894882434302
"271";150740;112;641;0,174726989079563
"272";150745;1087;2420;0,449173553719008
"273";150746;15;95;0,157894736842105
"274";150747;1079;2313;0,466493731085171
"275";150750;470;885;0,531073446327684
"276";150760;580;2834;0,204657727593507
"277";150770;415;849;0,488810365135453
"278";150775;293;572;0,512237762237762
"279";150780;163;465;0,350537634408602
"280";150790;599;1469;0,407760381211709
"281";150795;564;2626;0,214775323686215
"282";150796;37;338;0,109467455621302
"283";150797;489;805;0,607453416149068
"284";150800;988;2860;0,345454545454545
"285";150803;694;1750;0,396571428571429
"286";150805;485;796;0,60929648241206
"287";150808;1196;2492;0,479935794542536
"288";150810;455;3097;0,146916370681304
"289";150812;1401;3080;0,45487012987013
"290";150815;1568;4058;0,386397240019714
"291";150820;1015;2486;0,408286403861625
"292";150830;1366;3881;0,351971141458387
"293";150835;297;845;0,351479289940828
"294";150840;1684;4212;0,399810066476733
"295";160005;15;61;0,245901639344262
"296";160010;31;142;0,21830985915493
"297";160015;25;115;0,217391304347826
"298";160020;210;519;0,404624277456647
"299";160021;3;36;0,0833333333333333
"300";160023;36;117;0,307692307692308
"301";160025;12;55;0,218181818181818
"302";160027;722;2203;0,327734906945075
"303";160030;2439;13915;0,175278476464247
"304";160040;85;330;0,257575757575758
"305";160050;120;571;0,21015761821366
"306";160053;257;571;0,450087565674256
"307";160055;2;21;0,0952380952380952
"308";160060;532;2943;0,18076792388719
"309";160070;26;101;0,257425742574257
"310";160080;72;254;0,283464566929134
"311";170025;13;89;0,146067415730337
"312";170030;54;172;0,313953488372093
"313";170035;34;213;0,15962441314554
