"";"COD6D";"adm";"atencao_basica";"assist_hosp";"suporte";"vigil_epidem";"alimentacao";"trabalhador";"educ_infantil";"direitos";"saneamento_rural";"saneamento_urb";"desenv";"outros";"total"
"89";"411600";0;0;33333,3333333333;0;0;0;0;0;0;0;0;0;0;33333,3333333333
"90";"316580";0;50000;0;0;0;0;0;0;0;0;0;0;0;50000
"91";"316820";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"92";"431513";0;0;0;0;0;0;0;0;0;0;23333,3333333333;0;0;23333,3333333333
"93";"420209";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"94";"420475";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"95";"352965";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"96";"431936";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"97";"510774";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"98";"421715";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"99";"350335";0;0;0;0;0;0;0;0;0;0;50000;0;0;50000
"100";"250115";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";"355520";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";"431046";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"431975";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"172093";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";"420675";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";"354625";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";"431295";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";"351800";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"109";"410752";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";"432285";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";"314540";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";"355530";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"113";"432255";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"114";"431775";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";"316560";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";"522028";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";"316700";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";"431517";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"119";"430192";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"120";"420075";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"121";"510631";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"122";"520020";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"123";"431475";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"124";"430825";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125";"310070";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"126";"430675";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";"353625";0;35000;0;0;0;0;0;0;0;0;0;0;0;35000
"128";"420519";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"129";"520050";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"130";"520690";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"131";"310330";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"132";"220945";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"133";"521480";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"134";"170360";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"135";"421560";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"136";"430047";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"137";"521290";0;0;0;0;0;0;0;0;0;0;80000;0;0;80000
"138";"251740";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"139";"240480";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"140";"314780";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";"431861";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"142";"354610";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"143";"171370";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"144";"250073";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"145";"351420";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"146";"420785";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"147";"172130";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"148";"412555";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"149";"354930";0;30000;0;0;0;0;0;0;0;0;0;0;0;30000
"150";"221038";0;0;0;0;0;0;0;0;0;0;20000;0;0;20000
"151";"316490";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"152";"352910";0;0;50000;0;0;0;0;0;0;0;0;0;0;50000
"153";"353284";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"154";"430215";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"155";"315620";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"156";"314570";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"157";"432057";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"158";"171889";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"159";"352725";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"160";"431446";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"161";"353100";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"162";"420257";0;0;0;0;0;0;0;0;0;0;22500;0;0;22500
"163";"431755";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"164";"430613";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"165";"170382";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"166";"420917";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"167";"432335";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"168";"431545";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"169";"431075";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"170";"430642";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"171";"240410";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"172";"317060";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"173";"431971";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"174";"353310";0;30000;0;0;0;0;0;0;0;0;0;0;0;30000
"175";"354323";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"176";"314900";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"177";"316730";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"178";"431413";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"179";"420920";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"180";"510719";0;0;50000;0;0;0;0;0;0;0;0;0;0;50000
"181";"430258";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"182";"431849";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"183";"421055";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"184";"431846";0;50000;0;0;0;0;0;0;0;0;0;0;0;50000
"185";"431200";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"186";"431417";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"187";"410910";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"188";"171270";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"189";"510530";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"190";"171180";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"191";"251070";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"192";"315870";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"193";"411005";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"194";"310320";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"195";"311490";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"196";"352750";0;40000;0;0;0;0;0;0;0;0;0;0;0;40000
"197";"355465";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"198";"521470";0;50000;0;0;0;0;0;0;0;0;0;0;0;50000
"199";"420165";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"200";"240790";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"201";"431041";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"202";"430912";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"203";"421185";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"204";"351330";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"205";"280010";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"206";"431344";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"207";"432045";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"208";"313280";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"209";"421410";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"210";"171515";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"211";"350745";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"212";"241430";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"213";"432234";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"214";"520945";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"215";"521205";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"216";"430205";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"217";"432162";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"218";"110146";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"219";"170388";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"220";"241380";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"221";"411590";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"222";"430237";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"223";"355715";0;120000;0;0;0;0;0;0;0;0;0;0;0;120000
"224";"521580";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"225";"431057";0;25000;0;0;0;0;0;0;0;0;0;0;0;25000
"226";"312520";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"227";"431697";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"228";"421189";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"229";"521385";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"230";"314250";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"231";"250057";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"232";"430195";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"233";"171845";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"234";"421205";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"235";"521260";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"236";"520929";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"237";"250410";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"238";"421555";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"239";"170025";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"240";"354470";0;25000;0;0;0;0;0;0;0;0;0;0;0;25000
"241";"510450";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"242";"250220";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"243";"220793";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"244";"412430";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"245";"430515";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"246";"170825";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"247";"251394";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"248";"430558";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"249";"351495";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"250";"420055";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"251";"240165";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"252";"430223";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"253";"520145";0;35000;0;0;0;0;0;0;0;0;0;0;0;35000
"254";"421505";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"255";"431333";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"256";"220095";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"257";"430222";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"258";"171110";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"259";"311380";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"260";"432065";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"261";"431308";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"262";"432237";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"263";"520280";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"264";"410185";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"265";"171525";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"266";"430585";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"267";"420445";0;0;0;0;0;0;0;0;0;0;16000;0;0;16000
"268";"430587";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"269";"431795";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"270";"315500";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"271";"412830";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"272";"312460";0;23384;250000;0;0;0;0;0;0;0;0;0;0;273384
"273";"431213";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"274";"172000";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"275";"420555";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"276";"520015";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"277";"430843";0;50000;0;0;0;0;0;0;0;0;0;0;0;50000
"278";"520710";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"279";"220385";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"280";"421895";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"281";"431514";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"282";"431142";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"283";"412590";0;0;1e+05;0;0;0;0;0;0;0;0;0;0;1e+05
"284";"510776";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"285";"350315";0;20000;0;0;0;0;0;0;0;0;0;0;0;20000
"286";"251710";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"287";"250530";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"288";"310980";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"289";"431087";0;75000;0;0;0;0;0;0;0;0;0;0;0;75000
"290";"421085";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"291";"431445";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292";"354030";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"293";"171900";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"294";"241142";0;0;0;0;0;0;0;0;0;0;0;0;0;0
