"";"COD7D";"Municipio";"COD6D";"Aracaju";"Belem";"Belo_Horizonte";"Boa_Vista";"Brasilia";"Campo_Grande";"Cuiaba";"Curitiba";"Florianopolis";"Fortaleza";"Goiania";"Joao_Pessoa";"Macapa";"Maceio";"Manaus";"Natal";"Palmas";"Porto_Alegre";"Porto_Velho";"Recife";"Rio_Branco";"Rio_de_Janeiro";"Salvador";"Sao_Luis";"Sao_Paulo";"Teresina";"Vitoria";"LessDistant"
"10";"1200344";"MANOEL URBANO";"120034";3592303,19956007;2534494,53484204;3016876,68544613;1713909,61652944;2497056,25673782;2104313,64012731;1654321,02841089;2811114,24431371;3012706,84254792;3517204,94580386;2370350,61201113;3860379,41433508;2390524,99664955;3748044,80309179;1298059,41572436;3839590,69336929;2381976,2824759;3005734,93920796;610002,576129606;3844160,01928874;179475,29802309;3187207,55053386;3443006,6310292;2923283,77050453;2929809,52509092;3030284,12801831;3394706,70534003;179,4753
"11";"1200351";"MARECHAL THAUMATURGO";"120035";3891271,40176226;2807374,2169573;3299641,89884484;1884275,70447598;2789286,1231264;2359768,47614065;1938686,10608622;3057410,91940307;3250217,08925401;3808063,79893272;2658836,93694341;4157397,6915044;2648140,83453461;4046699,17450637;1537897,04966233;4134948,81341244;2680817,7460127;3218339,62847383;907131,772756009;4141952,62379337;472123,92638278;3459422,76330649;3741445,83337877;3207312,12754633;3192885,79627286;3322319,219523;3679561,86258366;472,12393
"12";"1200385";"PLÁCIDO DE CASTRO";"120038";3309205,49550317;2314297,46604302;2726766,85759691;1650379,82381305;2205087,1185594;1831975,18555413;1364204,70682584;2543723,8858309;2751555,42199624;3260528,61801745;2078678,08125934;3587824,20204886;2196238,02435105;3468612,1154669;1150304,36761853;3571923,71471088;2101724,94668159;2764846,44078161;354218,612644487;3568858,24284116;114793,012475471;2902001,84828424;3155838,74904197;2681519,3852004;2650346,31312541;2771724,05590979;3103815,95671078;114,79301
"13";"1200393";"PORTO WALTER";"120039";3917999,12070071;2807415,08652664;3345125,54541187;1851263,98269633;2828560,2777265;2414717,29639624;1983049,25805354;3114811,44119559;3309483,74335281;3819933,12993221;2700907,935602;4176950,56816303;2640978,7905775;4070638,06438539;1526169,60878486;4151829,35424813;2706132,56885211;3281577,39884373;929900,800557641;4163150,95880129;509949,035762233;3509535,57168082;3771914,59470373;3213907,13424262;3246002,50230094;3335549,25888352;3723957,11685557;509,94904
"14";"1200401";"RIO BRANCO";"120040";3423427,78984519;2409914,71061559;2837409,2090481;1686865,55217008;2318783,37276389;1930652,0660735;1474847,21072223;2639818,61478057;2844329,1219058;3368177,1137649;2191170,73795531;3699829,83052348;2282746,17777989;3582163,79771078;1217075,0601405;3682683,90627394;2215341,83529728;2847242,30087723;457405,916017825;3681516,08260545;0;3008823,28329587;3270568,26695816;2784444,39303579;2753436,53707053;2879816,96360665;3215255,15047602;0
"15";"1200427";"RODRIGUES ALVES";"120042";3980831,74393254;2841772,55975805;3424789,03363157;1843363,89571357;2903317,26834789;2500959,94909873;2062274,34856171;3202289,4338428;3397812,61048861;3867226,3007366;2778030,26566193;4232391,11241073;2666763,17811463;4130634,42662845;1548143,29558668;4204446,901998;2768083,07566128;3371146,11631647;992345,863573242;4220311,32648207;587463,428047444;3592571,04097621;3838421,11067162;3255589,16643489;3331050,51951797;3384565,76218917;3802702,93451403;587,46343
"16";"1200435";"SANTA ROSA DO PURUS";"120043";3651192,70292239;2591719,89326036;3069241,35620025;1752657,70263585;2552465,54196038;2148779,41898982;1706942,36473227;2853478,63746805;3052922,76582069;3576588,42805748;2424452,97494361;3919931,10250653;2445414,98755205;3807289,00552515;1349288,51464208;3899186,33161194;2441110,49096057;3039878,09984128;669586,030409736;3903631,01264304;233682,279913467;3236539,78345875;3501204,99469231;2981986,59697549;2976595,21188219;3089743,47489598;3447744,81202523;233,68228
"17";"1200450";"SENADOR GUIOMARD";"120045";3320897,00498025;2311728,21869404;2747567,62613333;1629941,27371767;2222971,09045886;1857681,55977176;1385201,58071623;2569949,39778116;2778421,32323761;3264923,04159643;2098023,17688869;3596117,39510135;2189772,1818678;3478988,48644894;1136906,47779916;3578920,16318246;2112241,97650333;2793146,04182369;355026,235034073;3577939,2499448;103770,591711269;2924890,48226989;3169328,83001872;2682800,5452546;2674688,46545075;2776444,91200438;3124003,98037538;103,77059
"18";"1200500";"SENA MADUREIRA";"120050";3536620,32621817;2500761,61956353;2951540,51740642;1718899,42948366;2434264,2546818;2036879,0158026;1589117,21733457;2743721,73806801;2945526,62059119;3472266,38328315;2306259,36738517;3809505,50182122;2364026,64806437;3694163,87517821;1281492,49534196;3790664,4427877;2327558,87274769;2939929,02454513;561467,547859884;3792130,45754912;115526,916237675;3120534,65806668;3385017,43250706;2883158,50009555;2862569,01947427;2984566,0909737;3329805,49080388;115,52692
"19";"1200609";"TARAUACÁ";"120060";3780712,77997331;2663192,74141631;3229597,43024854;1730811,57334887;2704171,94782794;2319800,62855766;1867032,67221638;3025751,63321067;3225988,51915343;3675935,19619768;2580488,95025497;4035438,31069963;2498729,67582837;3931472,67111486;1385869,37087053;4009226,80560854;2568167,1156946;3213081,14811638;792005,945744926;4022434,97833462;393642,78684854;3402439,20264921;3637629,71197643;3069289,59773616;3145646,98229968;3191887,07520736;3606448,53414674;393,64279
