"";"TOTAL";"COL1992";"COL1993";"COL1994";"COL1995";"COL1996";"COL1997";"COL1998";"COL1999";"COL2000";"COL2001";"COL2002";"COL2003";"COL2004";"COL2005";"COL2006";"COL2007";"COL2008";"COL2009";"COL2010";"COL2011";"COL2012";"COL2013";"COL2014";"COL2015";"COL2016";"COL2017";"COL2018";"COL2019";"COL2020"
"64";"NASC";8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"65";"NAT_JUR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;45;45;45;45;45;45;45;45;45
"66";"NATUREZA";28;28;32;32;32;33;29;34;40;40;40;40;40;42;42;43;44;44;44;44;44;44;44;44;44;44;44;44;44
"67";"NUM_FILHOS";NA;NA;NA;NA;NA;NA;NA;47;55;53;55;55;55;57;58;58;59;59;59;60;60;60;60;60;60;60;60;60;60
"68";"NUM_PROC";NA;NA;NA;40;41;42;39;44;50;48;50;50;50;52;53;53;54;54;54;55;55;55;55;55;55;55;55;55;55
"69";"PROC_REA";11;11;13;13;13;13;13;17;21;21;21;21;21;22;22;23;24;24;24;24;24;24;24;24;24;24;24;24;24
"70";"PROC_SOLIC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;22;23;23;23;23;23;23;23;23;23;23;23;23;23
"71";"QT_DIARIAS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;22;22;22;22;22;22;22;22;22;22;22;22
"72";"RACA_COR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;83;83;84;84;84;84;84;84;84;84;84;84
"73";"REGCT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82;82;82;83;83;83;83;83;83;83;83;83;83
