"";"COD6D";"QT_EXIST";"QT_CONTR";"QT_SUS";"QT_NSUS"
"210";"290640";3;0;3;0
"211";"290650";67;0;50;17
"212";"290660";37;0;26;11
"213";"290670";55;0;55;0
"214";"290680";16;0;16;0
"215";"290682";61;0;61;0
"216";"290685";21;0;21;0
"217";"290687";57;0;57;0
"218";"290690";77;0;61;16
"219";"290710";35;0;35;0
"220";"290720";43;0;43;0
"221";"290730";57;0;57;0
"222";"290750";119;0;55;64
"223";"290755";20;0;20;0
"224";"290760";42;0;42;0
"225";"290780";67;0;67;0
"226";"290790";33;0;33;0
"227";"290800";35;0;35;0
"228";"290810";32;0;32;0
"229";"290820";50;0;20;30
"230";"290830";58;0;58;0
"231";"290840";211;0;142;69
"232";"290850";31;0;28;3
"233";"290860";17;0;17;0
"234";"290870";38;0;38;0
"235";"290890";28;0;28;0
"236";"290900";15;0;15;0
"237";"290910";36;0;36;0
"238";"290920";4;0;4;0
"239";"290930";36;0;36;0
"240";"290940";9;0;9;0
"241";"290950";24;0;24;0
"242";"290960";21;0;21;0
"243";"290980";165;0;132;33
"244";"290990";24;0;24;0
"245";"291005";48;0;35;13
"246";"291010";11;0;11;0
"247";"291030";13;0;13;0
"248";"291040";50;0;50;0
"249";"291050";70;0;70;0
"250";"291060";75;0;75;0
"251";"291070";111;0;109;2
"252";"291072";292;0;172;123
"253";"291080";1403;0;1103;298
"254";"291085";37;0;37;0
"255";"291100";21;0;21;0
"256";"291110";31;0;31;0
"257";"291120";72;0;72;0
"258";"291130";18;0;18;0
"259";"291150";17;0;17;0
"260";"291170";292;0;191;101
"261";"291180";32;0;32;0
"262";"291190";51;0;51;0
"263";"291200";38;0;38;0
"264";"291210";34;0;34;0
"265";"291230";21;0;21;0
"266";"291240";33;0;29;4
"267";"291250";8;0;8;0
"268";"291270";31;0;31;0
"269";"291280";8;0;8;0
"270";"291290";81;0;81;0
"271";"291300";62;0;62;0
"272";"291310";32;0;31;1
"273";"291320";80;0;52;28
"274";"291330";22;0;22;0
"275";"291340";33;0;33;0
"276";"291345";9;0;9;0
"277";"291350";84;0;84;0
"278";"291360";542;0;438;104
"279";"291370";40;0;40;0
"280";"291380";14;0;14;0
"281";"291390";125;0;90;35
"282";"291400";64;0;62;2
"283";"291410";24;0;24;0
"284";"291420";29;0;29;0
"285";"291430";68,5;0;68,5;0
"286";"291440";41;0;41;0
"287";"291450";25;0;25;0
"288";"291460";175;0;133;42
"289";"291465";40;0;40;0
"290";"291470";211,5;0;158,5;53
"291";"291480";1047;0;803;244
"292";"291490";39;0;39;0
"293";"291500";15;0;15;0
"294";"291510";29;0;29;0
"295";"291520";17;0;17;0
"296";"291530";21;0;21;0
"297";"291535";24;0;24;0
"298";"291540";12;0;12;0
"299";"291550";60;0;60;0
"300";"291560";103;0;103;0
"301";"291570";29;0;29;0
"302";"291580";42;0;42;0
"303";"291600";56;0;54;2
"304";"291610";52;0;52;0
"305";"291630";11;0;11;0
"306";"291640";219;0;199;20
"307";"291650";54;0;50;4
"308";"291660";16;0;16;0
"309";"291670";31;0;31;0
"310";"291680";30;0;30;0
"311";"291685";24;0;24;0
"312";"291690";85;0;85;0
"313";"291700";87;0;84;3
"314";"291710";45;0;45;0
"315";"291720";28;0;28;0
"316";"291730";33;0;33;0
"317";"291735";31;0;31;0
"318";"291740";29;0;29;0
"319";"291750";332;0;287;45
"320";"291760";124;0;112;12
"321";"291770";42;0;42;0
"322";"291800";528;0;368;160
"323";"291810";32;0;32;0
"324";"291820";23;0;23;0
"325";"291830";26;0;26;0
"326";"291835";36;0;36;0
"327";"291840";779;0;681;98
"328";"291845";26;0;26;0
"329";"291850";31;0;31;0
"330";"291855";37;0;37;0
"331";"291860";17;0;17;0
"332";"291875";2;0;2;0
"333";"291880";42;0;42;0
"334";"291905";27;0;27;0
"335";"291915";44;0;44;0
"336";"291920";263;0;108;155
"337";"291930";14;0;14;0
"338";"291940";20;0;20;0
"339";"291950";84;0;54;32
"340";"291955";48;0;24;26
"341";"291960";20;0;20;0
"342";"291970";32;0;32;0
"343";"291980";60;0;45;15
"344";"291990";15;0;15;0
"345";"291992";31;0;31;0
"346";"292000";14;0;14;0
"347";"292010";31;0;31;0
"348";"292020";22;0;22;0
"349";"292050";89;0;89;0
"350";"292060";46;0;15;31
"351";"292080";19;0;19;0
"352";"292100";84;0;56;28
"353";"292105";21;0;21;0
"354";"292110";30;0;30;0
"355";"292120";86;0;83;3
"356";"292130";23;0;23;0
"357";"292150";60;0;60;0
"358";"292160";2;0;2;0
"359";"292170";120;0;120;0
"360";"292180";24;0;24;0
"361";"292190";32;0;32;0
"362";"292200";90;0;70;20
"363";"292205";34;0;34;0
"364";"292210";22;0;22;0
"365";"292230";40;0;40;0
"366";"292240";47;0;47;0
"367";"292250";129;0;120;9
"368";"292265";24;0;24;0
"369";"292270";51;0;51;0
"370";"292290";39;0;39;0
"371";"292300";45;0;45;0
"372";"292310";25;0;25;0
"373";"292320";27;0;27;0
"374";"292330";15;0;15;0
"375";"292340";54;0;54;0
"376";"292360";82;0;82;0
"377";"292370";37;0;37;0
"378";"292380";16;0;6;10
"379";"292390";17;0;17;0
"380";"292400";153;0;139;14
"381";"292405";9;0;9;0
"382";"292420";3;0;3;0
"383";"292430";26;0;26;0
"384";"292440";30;0;30;0
"385";"292450";25;0;25;0
"386";"292460";57;44;57;0
"387";"292465";16;0;16;0
"388";"292480";37;0;37;0
"389";"292490";27;0;27;0
"390";"292500";59;0;59;0
"391";"292510";74;0;66;8
"392";"292520";123;0;83;40
"393";"292525";37;0;37;0
"394";"292530";154;0;140;14
"395";"292540";21;0;21;0
"396";"292550";42;0;42;0
"397";"292560";17;0;17;0
"398";"292575";18;0;18;0
"399";"292580";53;10;53;0
"400";"292590";23;0;23;0
"401";"292595";22;0;22;0
"402";"292600";143;0;118;25
"403";"292610";26;0;26;0
"404";"292620";29;0;29;0
"405";"292630";126;0;119;7
"406";"292640";69;0;69;0
"407";"292650";20;0;20;0
"408";"292660";96;0;96;0
"409";"292670";11;0;11;0
"410";"292690";28;0;28;0
"411";"292700";55;0;55;0
"412";"292710";5;0;5;0
"413";"292720";113;0;100;13
"414";"292730";16;0;16;0
"415";"292740";8825;0;5982,5;2794
"416";"292750";30;0;30;0
"417";"292770";22;0;22;0
"418";"292790";30;0;30;0
"419";"292800";81;0;79;2
"420";"292810";110;0;108;2
"421";"292820";40;0;40;0
"422";"292830";13;0;13;0
"423";"292840";24;0;24;0
"424";"292850";28;0;28;0
"425";"292860";191;0;166;25
"426";"292870";387;0;335;57
"427";"292880";53;0;53;0
"428";"292890";25;0;25;0
"429";"292895";20;0;20;0
"430";"292900";91;0;90;1
"431";"292905";49;0;44;5
"432";"292910";30;0;30;0
"433";"292920";44;0;44;0
"434";"292925";34;0;34;0
"435";"292930";102;0;102;0
"436";"292937";16;0;16;0
"437";"292940";29;0;29;0
"438";"292950";53;0;53;0
"439";"292960";63;0;63;0
"440";"292970";37;0;37;0
"441";"292975";13;0;13;0
"442";"292980";73;0;73;0
"443";"292990";94;0;84;10
"444";"293000";20;0;20;0
"445";"293010";145;0;115;30
"446";"293015";32;0;32;0
"447";"293020";32;0;32;0
"448";"293030";45;0;45;0
"449";"293040";25;0;25;0
"450";"293050";243;0;200;43
"451";"293060";33;0;33;0
"452";"293070";72;0;72;0
"453";"293075";19;0;19;0
"454";"293077";31;0;31;0
"455";"293080";26;0;26;0
"456";"293090";32;0;32;0
"457";"293100";21;0;21;0
"458";"293105";73;0;73;0
"459";"293110";20;0;20;0
"460";"293120";26;0;26;0
"461";"293130";52;0;38;14
"462";"293135";352;0;235;120
"463";"293150";25;0;25;0
"464";"293160";24;0;24;0
"465";"293180";19;0;19;0
"466";"293190";58;0;55;3
"467";"293200";24;0;24;0
"468";"293210";71;0;71;0
"469";"293220";100;0;100;0
"470";"293230";110;0;110;0
"471";"293240";30;0;30;0
"472";"293250";47;0;47;0
"473";"293260";34;0;34;0
"474";"293280";20;0;20;0
"475";"293290";231;0;211;20
"476";"293300";72;0;68;4
"477";"293305";21;0;21;0
"478";"293310";40;0;40;0
"479";"293315";17;0;17;0
"480";"293320";28;0;27;1
"481";"293325";11;0;11;0
"482";"293330";1013;0;749;264
"483";"293340";37;0;37;0
"484";"293345";30;0;30;0
"485";"293350";44;0;44;0
"486";"293360";166;0;153;13
"487";"290150";6;0;6;0
"488";"290010";9;0;9;0
"489";"292467";17;0;17;0
"490";"291733";5;0;5;0
"491";"230020";66;0;66;0
"492";"230030";150;0;146;4
"493";"230040";30;0;30;0
"494";"230060";19;0;19;0
"495";"230070";33;0;33;0
"496";"230075";35;0;35;0
"497";"230080";16;0;16;0
"498";"230090";12;0;12;0
"499";"230100";40;0;40;0
"500";"230110";105;0;105;0
"501";"230120";66;0;66;0
"502";"230125";16;0;16;0
"503";"230130";42;0;42;0
"504";"230140";12;0;12;0
"505";"230150";16;0;16;0
"506";"230160";46;0;46;0
"507";"230170";89;0;89;0
"508";"230180";19;0;19;0
"509";"230185";17;0;17;0
"510";"230190";436;0;363;73
"511";"230195";25;0;25;0
"512";"230200";30;0;30;0
"513";"230210";71;0;45;26
"514";"230220";26;0;25;1
"515";"230230";30;0;30;0
"516";"230240";66;0;66;0
"517";"230250";245;0;220;25
"518";"230260";67;0;67;0
"519";"230270";83;0;83;0
"520";"230280";112;0;97;15
"521";"230290";18;0;18;0
"522";"230300";21;0;21;0
"523";"230320";29,5;0;29,5;0
"524";"230330";25;0;25;0
"525";"230340";16;0;16;0
"526";"230350";82;0;72;10
"527";"230360";18;0;18;0
"528";"230365";23;0;23;0
"529";"230370";278;0;278;0
"530";"230380";104;7;92;12
"531";"230390";29;0;29;0
"532";"230393";16;0;16;0
"533";"230395";11;0;11;0
"534";"230400";18;0;18;0
"535";"230410";191;0;136;55
"536";"230420";676;0;479;197
"537";"230423";36;0;36;0
"538";"230425";56;0;56;0
"539";"230426";12;0;12;0
"540";"230427";9;0;9;0
"541";"230428";68;0;54;14
"542";"230430";43;0;43;0
"543";"230435";3;0;3;0
"544";"230440";9519;0;6722;2797
"545";"230445";12;0;12;0
"546";"230450";31;0;31;0
"547";"230460";13;0;13;0
"548";"230470";32;0;32;0
"549";"230480";25;0;25;0
"550";"230490";24;0;20;4
"551";"230495";13;0;13;0
"552";"230500";47;0;47;0
"553";"230510";5;0;5;0
"554";"230520";17;0;17;0
"555";"230523";50;0;50;0
"556";"230526";21;0;21;0
"557";"230530";37;0;37;0
"558";"230535";14;0;14;0
"559";"230540";120;0;112;8
"560";"230550";177;0;128;49
"561";"230560";16;0;16;0
"562";"230565";18;0;18;0
"563";"230570";26;0;26;0
"564";"230580";159;0;83;76
"565";"230590";57;0;53;4
"566";"230600";29;0;29;0
"567";"230610";18;0;18;0
"568";"230620";14;0;14;0
"569";"230625";38;0;38;0
"570";"230630";35;0;35;0
"571";"230640";158;0;116;42
"572";"230650";29;0;29;0
"573";"230655";31;0;31;0
"574";"230670";16;0;16;0
"575";"230680";25;0;17;8
"576";"230690";35;0;30;5
"577";"230700";34;0;34;0
"578";"230710";64;0;30;34
"579";"230720";32;0;32;0
"580";"230725";17;0;0;17
"581";"230730";502;0;365;137
"582";"230740";65;0;65;0
"583";"230750";49;4;45;4
"584";"230760";241;0;173;68
"585";"230763";24;0;24;0
"586";"230765";258,5;0;242,5;16
"587";"230770";205;0;72;133
"588";"230780";33;0;33;0
"589";"230790";17;0;9;8
"590";"230800";30;0;30;0
"591";"230810";80;0;72;8
"592";"230820";17;0;17;0
"593";"230830";77;0;33;44
"594";"230835";21;0;21;0
"595";"230837";11;0;11;0
"596";"230840";72;0;72;0
"597";"230850";61;0;61;0
"598";"230860";27;0;25;2
"599";"230870";149;0;119;30
"600";"230880";12;0;12;0
"601";"230890";20;0;20;0
"602";"230900";40;0;40;0
"603";"230910";9;0;9;0
"604";"230920";20;0;20;0
"605";"230930";41,5;0;41,5;0
"606";"230940";20;0;20;0
"607";"230945";18;0;18;0
"608";"230950";53;0;53;0
"609";"230960";119;0;117;2
"610";"230970";23;0;23;0
"611";"230980";20;0;20;0
"612";"231000";7;0;7;0
"613";"231010";16;0;16;0
"614";"231020";53;0;48;5
"615";"231025";24;0;24;0
"616";"231030";35;0;35;0
"617";"231040";32;0;32;0
"618";"231050";65;0;65;0
"619";"231060";13;0;13;0
"620";"231070";51;0;51;0
"621";"231080";18;0;18;0
"622";"231085";14;0;14;0
"623";"231090";18;0;18;0
"624";"231100";21;0;21;0
"625";"231110";24;0;24;0
"626";"231120";18;0;18;0
"627";"231123";13;0;13;0
"628";"231126";12;0;12;0
"629";"231130";206;0;174;32
"630";"231135";25;0;25;0
"631";"231140";97;0;92;5
"632";"231150";28;0;28;0
"633";"231160";62;0;54;8
"634";"231170";28;0;28;0
"635";"231180";237;0;165;72
"636";"231190";35;0;35;0
"637";"231195";22;0;22;0
"638";"231200";40;0;40;0
"639";"231210";19;0;19;0
"640";"231220";49;0;49;0
"641";"231230";89;0;75;14
"642";"231240";33;0;33;0
"643";"231250";30;0;30;0
"644";"231260";20;0;20;0
"645";"231270";57;0;43;14
"646";"231280";7;0;7;0
"647";"231290";669;0;548;125
"648";"231300";38;0;38;0
"649";"231310";48;0;48;0
"650";"231320";41;0;41;0
"651";"231325";14;0;14;0
"652";"231330";81;0;79;2
"653";"231335";16;0;16;0
"654";"231340";62;0;48;14
"655";"231350";31;0;20;11
"656";"231355";13;0;13;0
"657";"231360";51;0;45;6
"658";"231370";20;0;20;0
"659";"231375";13;0;13;0
"660";"231380";18;0;18;0
"661";"231390";14;0;14;0
"662";"231395";20;0;20;0
"663";"231400";76;0;63;13
"664";"231410";69;0;69;0
"665";"530010";3694,5;0;2381,5;1301
"666";"530020";136;0;136;0
"667";"530040";469;0;324;149
"668";"530050";380;0;136;241
"669";"530060";594;0;531;61
"670";"530070";52;0;52;0
"671";"530080";43;0;0;43
"672";"530090";342;0;78,5;277,5
"673";"530100";20;0;0;20
"674";"530110";264;0;264;0
"675";"530120";215;0;190;25
"676";"530140";322;0;120,5;191
"677";"530150";340;0;308;50
"678";"530160";12;0;12;0
"679";"530170";241;0;239;2
"680";"530180";912;0;569;338
"681";"320010";50;0;36;14
"682";"320016";66;0;66;0
"683";"320020";58;0;40;18
"684";"320040";54;0;54;0
"685";"320050";30;0;30;0
"686";"320060";120;0;89;31
"687";"320070";13;0;13;0
"688";"320080";67;0;67;0
"689";"320090";104;0;79;25
"690";"320100";30;0;26;4
"691";"320120";1002,5;0;740,5;262
"692";"320130";402;0;269;133
"693";"320140";61;0;51;10
"694";"320150";465;0;228;237
"695";"320160";73;0;59;14
"696";"320170";23;0;23;0
"697";"320190";96;0;59;37
"698";"320210";78;0;46;32
"699";"320220";29;0;29;0
"700";"320230";75;0;62;13
"701";"320240";89;0;86;3
"702";"320245";50;0;41;9
"703";"320260";30;0;28;2
"704";"320270";40;0;36;4
"705";"320280";73;0;55;18
"706";"320290";36;0;31;5
"707";"320300";68;0;56;12
"708";"320305";22;0;22;0
"709";"320310";26;0;26;0
"710";"320313";46;0;36;10
"711";"320316";15;0;15;0
"712";"320320";274,5;0;208;83
"713";"320330";29;0;23;6
"714";"320340";36;0;32;4
"715";"320350";81;0;73;8
"716";"320360";19;0;19;0
"717";"320370";37;0;33;4
"718";"320380";96;0;96;0
"719";"320390";82;0;59;23
"720";"320400";50;0;50;0
"721";"320405";42;0;42;0
"722";"320410";34;0;30;4
"723";"320420";26;0;26;0
"724";"320435";28;0;28;0
"725";"320450";20;0;20;0
"726";"320455";49;0;46;3
"727";"320460";72;0;43;29
"728";"320470";129;0;89,5;39,5
"729";"320480";63;0;56;7
"730";"320490";168;0;153;15
"731";"320500";673;12;217;456
"732";"320503";30;0;30;0
"733";"320506";52;0;38;14
"734";"320520";1046,5;0;606;427,5
"735";"320530";2089;0;1425;664
"736";"520013";72;0;62;10
"737";"520015";20;0;9;11
"738";"520025";53;0;53;0
"739";"520030";39;0;39;0
"740";"520050";16;0;16;0
"741";"520060";40;0;40;0
"742";"520080";30;0;30;0
"743";"520085";39;0;35;4
"744";"520090";16;0;16;0
"745";"520110";1350;0;1070;287
"746";"520130";37;0;27;10
"747";"520140";869;0;718,5;158
"748";"520150";23;0;23;0
"749";"520160";16;0;16;0
"750";"520170";31;0;31;0
"751";"520180";16;0;16;0
"752";"520215";8;0;8;0
"753";"520235";25;0;25;0
"754";"520250";15;0;15;0
"755";"520260";19;0;14;5
"756";"520280";16;0;16;0
"757";"520320";39;0;39;0
"758";"520330";41,5;0;38;3,5
"759";"520340";37;0;27;10
"760";"520350";41;0;33;8
"761";"520355";20;0;20;0
"762";"520380";23;0;23;0
"763";"520390";34;0;25;9
"764";"520393";14;0;14;0
"765";"520400";16;0;16;0
"766";"520410";26;0;26;0
"767";"520425";16;0;16;0
"768";"520430";45;0;29;16
"769";"520440";58;0;52;6
"770";"520450";151;0;100;51
"771";"520465";19;0;19;0
"772";"520470";17;0;17;0
"773";"520480";6;0;6;0
"774";"520490";48;0;34;14
"775";"520495";36;0;35;1
"776";"520500";18;0;18;0
"777";"520505";15;0;15;0
"778";"520510";286,5;0;208,5;78
"779";"520520";18;0;18;0
"780";"520530";18;0;18;0
"781";"520540";278,5;0;136,5;138,5
"782";"520545";28;0;28;0
"783";"520547";14;0;14;0
"784";"520549";57;0;44;13
"785";"520551";35;0;35;0
"786";"520552";15;0;15;0
"787";"520570";16;0;16;0
"788";"520580";29;0;13;16
"789";"520590";28;0;28;0
"790";"520620";31;0;27;4
"791";"520630";23;0;23;0
"792";"520640";97;0;68;29
"793";"520650";6;0;6;0
"794";"520660";14;0;14;0
"795";"520670";13;0;13;0
"796";"520680";14;0;14;0
"797";"520710";26;0;26;0
"798";"520725";24;0;24;0
"799";"520735";10;0;10;0
"800";"520740";26;0;18;8
"801";"520750";17;0;17;0
"802";"520753";15;0;15;0
"803";"520760";28;0;28;0
"804";"520780";67;0;48;19
"805";"520790";7;0;7;0
"806";"520800";172;0;83;89
"807";"520810";18;0;18;0
"808";"520830";20;0;20;0
"809";"520840";35;0;35;0
"810";"520850";34;0;27;7
"811";"520860";199;0;155;44
"812";"520870";6365,5;0;3975,5;2379
"813";"520880";34;0;28;6
"814";"520890";122;0;83;39
"815";"520910";138;0;76;62
"816";"520960";19;0;19;0
"817";"520970";18;0;18;0
"818";"520980";29;0;29;0
"819";"520990";22;0;22;0
"820";"520993";16;0;16;0
"821";"520995";51;0;38;13
"822";"521000";390;0;173;217
"823";"521010";120;0;88;32
"824";"521020";154;0;76;78
"825";"521030";20;0;20;0
"826";"521040";70;0;63;7
"827";"521060";20;0;20;0
"828";"521080";20;0;20;0
"829";"521090";72;0;70;2
"830";"521100";40;0;36;4
"831";"521120";137;0;117;20
"832";"521130";14;0;14;0
"833";"521140";18;0;18;0
"834";"521150";250;0;155;95
"835";"521160";10;0;10;0
"836";"521170";15;0;15;0
"837";"521180";94;0;79;15
"838";"521190";219;0;160;59
"839";"521200";20;0;20;0
"840";"521210";15;0;15;0
"841";"521220";92;0;75;17
"842";"521230";29;0;21;8
"843";"521250";197;0;109;88
"844";"521260";18;0;18;0
"845";"521270";18;0;18;0
"846";"521280";31;0;27;4
"847";"521290";29;0;29;0
"848";"521295";14;0;14;0
"849";"521300";16;0;16;0
"850";"521308";83;0;29;54
"851";"521310";217;0;76;141
"852";"521350";15;0;15;0
"853";"521370";15;0;15;0
"854";"521375";34;0;34;0
"855";"521380";111;0;89;22
"856";"521385";17;0;17;0
"857";"521390";20;0;20;0
"858";"521400";44;0;38;6
"859";"521405";18;0;18;0
"860";"521410";19;0;19;0
"861";"521440";18;0;18;0
"862";"521450";123;0;78;45
"863";"521460";180;0;147;33
"864";"521483";32;0;29;8
"865";"521500";18;0;18;0
"866";"521520";27;0;27;0
"867";"521530";28;0;19;9
"868";"521550";26;0;26;0
"869";"521560";25;0;25;0
"870";"521565";19;0;19;0
"871";"521570";49;0;44;5
"872";"521580";14;0;14;0
"873";"521590";20;0;20;0
"874";"521630";24;0;24;0
"875";"521640";57;0;33;24
"876";"521680";23;0;17;6
"877";"521710";77;0;64;13
"878";"521720";87;0;71;16
"879";"521730";61;0;61;0
"880";"521740";88;18;66;22
"881";"521760";95;0;75;20
"882";"521770";52;0;24;28
"883";"521800";147;0;90;57
"884";"521805";16;0;6;10
"885";"521810";22;0;22;0
"886";"521830";52;0;50;2
"887";"521850";126;0;42;84
"888";"521860";25;0;25;0
"889";"521880";487;0;276;214
"890";"521890";74;0;66;8
"891";"521900";22;0;22;0
"892";"521910";15;0;15;0
"893";"521920";12;0;12;0
"894";"521925";15;0;15;0
"895";"521930";77;0;61;16
"896";"521950";16;0;16;0
"897";"521960";17;0;17;0
"898";"521970";43;0;43;0
"899";"521973";21;0;21;0
"900";"521975";85;0;85;0
"901";"521980";22;0;22;0
"902";"522000";76;0;26;50
"903";"522010";72;0;65;7
"904";"522020";86;0;71;15
"905";"522026";20;0;20;0
"906";"522040";41;0;41;0
"907";"522045";97;0;85;12
"908";"522050";20;0;20;0
"909";"522060";44;0;44;0
"910";"522068";16;0;16;0
"911";"522100";41;0;37;4
"912";"522140";575;0;451;124
"913";"522145";15;0;15;0
"914";"522150";37;0;21;12
"915";"522155";14;0;14;0
"916";"522160";113;0;80;33
"917";"522170";27;0;20;7
"918";"522185";38;0;1;37
"919";"522200";37;0;29;8
"920";"522205";39;0;34;5
