"";"CODUFMUN";"qtde"
"445";"292010";98,5
"446";"292020";35
"447";"292030";10
"448";"292040";39,5
"449";"292045";14
"450";"292050";66
"451";"292060";72
"452";"292070";35
"453";"292080";29
"454";"292090";15
"455";"292100";118
"456";"292105";28
"457";"292110";48
"458";"292120";71,5
"459";"292130";24
"460";"292140";22
"461";"292145";14,5
"462";"292150";78
"463";"292160";13,5
"464";"292170";107
"465";"292180";31
"466";"292190";38,5
"467";"292200";86,5
"468";"292205";36
"469";"292210";45,5
"470";"292220";9
"471";"292225";12,5
"472";"292230";59
"473";"292240";48
"474";"292250";101
"475";"292260";20
"476";"292265";21
"477";"292270";37
"478";"292273";21
"479";"292275";12
"480";"292280";13
"481";"292285";10
"482";"292290";38
"483";"292300";68
"484";"292303";9
"485";"292305";8
"486";"292310";43
"487";"292320";37
"488";"292330";18
"489";"292335";36
"490";"292340";44
"491";"292350";16
"492";"292360";111
"493";"292370";40
"494";"292380";30,5
"495";"292390";34
"496";"292400";343,5
"497";"292405";25,5
"498";"292410";15
"499";"292420";20
"500";"292430";50
"501";"292440";35
"502";"292450";17
"503";"292460";40
"504";"292465";22
"505";"292467";21,5
"506";"292470";27
"507";"292480";43,5
"508";"292490";25
"509";"292500";34,5
"510";"292510";85
"511";"292520";85,5
"512";"292525";32,5
"513";"292530";418
"514";"292540";27
"515";"292550";49
"516";"292560";57
"517";"292570";25
"518";"292575";42
"519";"292580";47
"520";"292590";47,5
"521";"292593";24
"522";"292595";54
"523";"292600";92
"524";"292610";31
"525";"292620";32,5
"526";"292630";91
"527";"292640";59,5
"528";"292650";35
"529";"292660";149
"530";"292665";22,5
"531";"292670";35
"532";"292680";32
"533";"292690";35
"534";"292700";85,5
"535";"292710";26
"536";"292720";63
"537";"292730";24
"538";"292740";13792
"539";"292750";41
"540";"292760";21
"541";"292770";45
"542";"292780";17
"543";"292790";35,5
"544";"292800";81
"545";"292805";25
"546";"292810";88
"547";"292820";37
"548";"292830";18
"549";"292840";69
"550";"292850";31
"551";"292860";138,5
"552";"292870";372
"553";"292880";88,5
"554";"292890";65
"555";"292895";37
"556";"292900";90
"557";"292905";28
"558";"292910";45
"559";"292920";102,5
"560";"292925";46
"561";"292930";90,5
"562";"292935";10
"563";"292937";21
"564";"292940";18
"565";"292950";117,5
"566";"292960";66
"567";"292970";30
"568";"292975";18
"569";"292980";24
"570";"292990";93,5
"571";"293000";25
"572";"293010";257
"573";"293015";57
"574";"293020";33
"575";"293030";49
"576";"293040";26
"577";"293050";170
"578";"293060";34
"579";"293070";211,5
"580";"293075";24
"581";"293076";23
"582";"293077";41
"583";"293080";27
"584";"293090";28
"585";"293100";34
"586";"293105";34
"587";"293110";19
"588";"293120";37
"589";"293130";43,5
"590";"293135";370,5
"591";"293140";26
"592";"293150";37,5
"593";"293160";28
"594";"293170";28
"595";"293180";31
"596";"293190";99,5
"597";"293200";38
"598";"293210";68
"599";"293220";37
"600";"293230";48
"601";"293240";46
"602";"293245";17
"603";"293250";55
"604";"293260";29,5
"605";"293270";44
"606";"293280";35,5
"607";"293290";300
"608";"293300";60
"609";"293305";25
"610";"293310";24
"611";"293315";27
"612";"293317";14
"613";"293320";102,5
"614";"293325";18
"615";"293330";1231
"616";"293340";24,5
"617";"293345";37,5
"618";"293350";57,5
"619";"293360";116,5
"620";"230010";11
"621";"230015";20
"622";"230020";99
"623";"230030";93,5
"624";"230040";36,5
"625";"230050";15
"626";"230060";16
"627";"230070";24
"628";"230075";50
"629";"230080";14
"630";"230090";26
"631";"230100";81
"632";"230110";153,5
"633";"230120";60,5
"634";"230125";17
"635";"230130";35,5
"636";"230140";34,5
"637";"230150";22
"638";"230160";42
"639";"230170";35
"640";"230180";15
"641";"230185";27
"642";"230190";329,5
"643";"230195";28
"644";"230200";35
"645";"230205";26
"646";"230210";86
"647";"230220";77
"648";"230230";62
"649";"230240";59,5
"650";"230250";70
"651";"230260";114,5
"652";"230270";35
"653";"230280";180,5
"654";"230290";56
"655";"230300";35,5
"656";"230310";31,5
"657";"230320";48,5
"658";"230330";28
"659";"230340";48
"660";"230350";98,5
"661";"230360";30
"662";"230365";19,5
"663";"230370";427,5
"664";"230380";45
"665";"230390";27
"666";"230393";38
"667";"230395";34,5
"668";"230400";48,5
"669";"230410";222,5
"670";"230420";408,5
"671";"230423";46
"672";"230425";54
"673";"230426";24
"674";"230427";24
"675";"230428";70
"676";"230430";63
"677";"230435";48
"678";"230440";10105,5
"679";"230445";24
"680";"230450";37
"681";"230460";17,5
"682";"230465";25
"683";"230470";80
"684";"230480";14
"685";"230490";23
"686";"230495";52,5
"687";"230500";83,5
"688";"230510";17
"689";"230520";41
"690";"230523";133
"691";"230526";25
"692";"230530";84,5
"693";"230533";16
"694";"230535";48
"695";"230540";90
"696";"230550";267,5
"697";"230560";42
"698";"230565";23
"699";"230570";26
"700";"230580";89
"701";"230590";61,5
"702";"230600";49,5
"703";"230610";27
"704";"230620";26,5
"705";"230625";110,5
"706";"230630";72
"707";"230640";240
"708";"230650";42
"709";"230655";53
"710";"230660";23
"711";"230670";42
"712";"230680";29
"713";"230690";82,5
"714";"230700";54,5
"715";"230710";76
"716";"230720";24
"717";"230725";33
"718";"230730";506,5
"719";"230740";46
"720";"230750";45,5
"721";"230760";119
"722";"230763";35,5
"723";"230765";550
"724";"230770";123
"725";"230780";61
"726";"230790";36
"727";"230800";53
"728";"230810";65
"729";"230820";25
"730";"230830";45,5
"731";"230835";25
"732";"230837";14
"733";"230840";35,5
"734";"230850";66
"735";"230860";17
"736";"230870";108
"737";"230880";27
"738";"230890";45,5
"739";"230900";38
"740";"230910";21
"741";"230920";26
"742";"230930";62,5
"743";"230940";40,5
"744";"230945";74
"745";"230950";39
"746";"230960";107,5
"747";"230970";72
"748";"230980";41,5
"749";"230990";12
"750";"231000";38
"751";"231010";36,5
"752";"231020";61
"753";"231025";38
"754";"231030";41
"755";"231040";42
"756";"231050";107,5
"757";"231060";17
"758";"231070";73,5
"759";"231080";43
"760";"231085";41
"761";"231090";24
"762";"231095";7
"763";"231100";21
"764";"231110";30
"765";"231120";21
"766";"231123";22
"767";"231126";26
"768";"231130";212,5
"769";"231135";29
"770";"231140";141,5
"771";"231150";40
"772";"231160";82,5
"773";"231170";35
"774";"231180";125,5
"775";"231190";25
"776";"231195";31
"777";"231200";60
"778";"231210";23
"779";"231220";40
"780";"231230";88
"781";"231240";116
"782";"231250";22
"783";"231260";25
"784";"231270";89,5
"785";"231280";12,5
"786";"231290";491,5
"787";"231300";47
"788";"231310";57
"789";"231320";58
"790";"231325";11
"791";"231330";79
"792";"231335";21
"793";"231340";179,5
"794";"231350";41
"795";"231355";31
"796";"231360";72,5
"797";"231370";12
"798";"231375";22
"799";"231380";46
"800";"231390";24
"801";"231395";29
"802";"231400";68
"803";"231410";80
"804";"530010";6014
"805";"530020";320
"806";"530030";32
"807";"530040";837
"808";"530050";797
"809";"530060";933,5
"810";"530070";277,5
"811";"530080";14
"812";"530090";323,5
"813";"530100";56
"814";"530110";545
"815";"530120";573
"816";"530130";123
"817";"530135";111,5
"818";"530140";527,5
"819";"530150";555
"820";"530160";184
"821";"530170";608
"822";"530180";1214
"823";"320010";73
"824";"320013";11,5
"825";"320016";23
"826";"320020";93
"827";"320030";27,5
"828";"320035";22
"829";"320040";130
"830";"320050";22,5
"831";"320060";269
"832";"320070";26
"833";"320080";96
"834";"320090";155
"835";"320100";32
"836";"320110";15,5
"837";"320115";28
"838";"320120";628
"839";"320130";630,5
"840";"320140";69
"841";"320150";435,5
"842";"320160";54
"843";"320170";27
"844";"320180";19
"845";"320190";77
"846";"320200";8
"847";"320210";41
"848";"320220";42
"849";"320225";24
"850";"320230";86,5
"851";"320240";168
"852";"320245";43
"853";"320250";39
"854";"320255";21,5
"855";"320260";22
"856";"320265";14
"857";"320270";35
"858";"320280";68
"859";"320290";29
"860";"320300";55,5
"861";"320305";34
"862";"320310";46,5
"863";"320313";53,5
"864";"320316";34
"865";"320320";456
"866";"320330";30,5
"867";"320332";60
"868";"320334";43
"869";"320335";21
"870";"320340";68
"871";"320350";55
"872";"320360";22
"873";"320370";48
"874";"320380";36
"875";"320390";109
"876";"320400";42,5
"877";"320405";64
"878";"320410";65
"879";"320420";34
"880";"320425";21
"881";"320430";50
"882";"320435";40
"883";"320440";12,5
"884";"320450";27
"885";"320455";67
"886";"320460";100,5
"887";"320465";17
"888";"320470";72
"889";"320480";86,5
"890";"320490";182
"891";"320495";17,5
"892";"320500";1159
"893";"320501";34
"894";"320503";57
"895";"320506";68
"896";"320510";106
"897";"320515";12
"898";"320517";13
"899";"320520";1227,5
"900";"320530";3496
"901";"520005";13,5
"902";"520010";43
"903";"520013";53
"904";"520015";6
"905";"520017";15
"906";"520020";5
"907";"520025";113,5
"908";"520030";47
"909";"520050";16
"910";"520055";13
"911";"520060";20
"912";"520080";33
"913";"520082";8
"914";"520085";14
"915";"520090";13
"916";"520110";1106,5
"917";"520120";6
"918";"520130";50
"919";"520140";955
"920";"520145";7
"921";"520150";19
"922";"520160";14
"923";"520170";37
"924";"520180";12
"925";"520215";18
"926";"520235";6
"927";"520250";16
"928";"520260";10
"929";"520280";8
"930";"520310";2
"931";"520320";29
"932";"520330";46,5
"933";"520340";12
"934";"520350";35
"935";"520355";15
"936";"520357";6
"937";"520360";7
"938";"520380";15,5
"939";"520390";18
"940";"520393";13
"941";"520396";8
"942";"520400";14
"943";"520410";17
"944";"520420";10
"945";"520425";27
"946";"520430";34
"947";"520440";29
"948";"520450";149,5
"949";"520455";13
"950";"520460";8
"951";"520465";29,5
"952";"520470";13
"953";"520480";16
"954";"520485";14
"955";"520490";114
"956";"520495";19
"957";"520500";20
"958";"520505";11
"959";"520510";166
"960";"520520";13
"961";"520530";37
"962";"520540";133,5
"963";"520545";17
"964";"520547";22
"965";"520549";83,5
"966";"520551";43
"967";"520552";33,5
"968";"520570";9
"969";"520580";19
"970";"520590";23
"971";"520620";86
"972";"520630";13
"973";"520640";44
"974";"520650";18
"975";"520660";13
"976";"520670";13
"977";"520680";13
"978";"520690";5
"979";"520710";17
"980";"520725";17
"981";"520735";15
"982";"520740";24
"983";"520750";14,5
"984";"520753";27
"985";"520760";17
"986";"520780";42
"987";"520790";28
"988";"520800";249
"989";"520810";19
"990";"520815";8
"991";"520830";18
"992";"520840";21
"993";"520850";13
"994";"520860";206,5
"995";"520870";6781
"996";"520880";52
"997";"520890";73
"998";"520910";68
"999";"520915";14
"1000";"520920";24
"1001";"520929";11
"1002";"520940";4
"1003";"520945";5
"1004";"520960";14
"1005";"520970";31
"1006";"520980";18
"1007";"520990";25
"1008";"520993";15
"1009";"520995";38
"1010";"521000";143
"1011";"521010";79,5
"1012";"521015";8
"1013";"521020";82,5
"1014";"521030";14
"1015";"521040";58
"1016";"521056";11
"1017";"521060";17
"1018";"521080";14
"1019";"521090";54
"1020";"521100";16
"1021";"521120";72
"1022";"521130";18
"1023";"521140";20
"1024";"521150";223
"1025";"521160";13
"1026";"521170";20
"1027";"521180";77
"1028";"521190";151,5
"1029";"521200";14
"1030";"521205";9
"1031";"521210";17
"1032";"521220";42
"1033";"521225";7
"1034";"521230";16
"1035";"521250";217,5
"1036";"521260";13
"1037";"521270";18
"1038";"521280";19
"1039";"521290";11
"1040";"521295";9
"1041";"521300";22
"1042";"521305";5
"1043";"521308";119
"1044";"521310";94
"1045";"521340";7
"1046";"521350";20
"1047";"521370";16
"1048";"521375";21
"1049";"521377";7
"1050";"521380";88
"1051";"521385";10
"1052";"521390";12
"1053";"521400";35
"1054";"521405";14
"1055";"521410";21
"1056";"521440";17
"1057";"521450";55,5
"1058";"521460";110
"1059";"521470";10
"1060";"521480";5
"1061";"521483";31
"1062";"521486";8
"1063";"521487";7
"1064";"521490";9
"1065";"521500";19
"1066";"521520";16
"1067";"521523";92
"1068";"521525";10,5
"1069";"521530";45
"1070";"521540";6
"1071";"521550";14
"1072";"521560";59,5
"1073";"521565";12
"1074";"521570";34
"1075";"521580";17
"1076";"521590";12
"1077";"521600";8
"1078";"521630";20
"1079";"521640";19
"1080";"521645";6
"1081";"521680";17
"1082";"521690";6
"1083";"521710";60
"1084";"521720";23
"1085";"521730";53
"1086";"521740";67,5
"1087";"521760";155
"1088";"521770";40
"1089";"521800";102
"1090";"521805";11
"1091";"521810";17
"1092";"521830";71,5
"1093";"521839";7
"1094";"521850";89
"1095";"521860";22
"1096";"521870";11
"1097";"521878";8
"1098";"521880";467,5
"1099";"521890";43
"1100";"521900";21
"1101";"521910";15,5
"1102";"521920";12
"1103";"521925";11
"1104";"521930";71,5
"1105";"521935";10
"1106";"521940";5
"1107";"521945";6
"1108";"521950";14
"1109";"521960";18
"1110";"521970";28
"1111";"521971";10
"1112";"521973";17
"1113";"521975";93,5
"1114";"521980";27
"1115";"521990";15
"1116";"522000";23
"1117";"522005";6
"1118";"522010";87,5
"1119";"522015";19
"1120";"522020";75,5
"1121";"522026";13
"1122";"522028";8
"1123";"522040";64
"1124";"522045";228,5
"1125";"522050";18
"1126";"522060";52
"1127";"522068";30
"1128";"522070";8
"1129";"522100";5
"1130";"522108";18
"1131";"522119";10
"1132";"522130";8,5
"1133";"522140";295,5
"1134";"522145";10
"1135";"522150";15,5
"1136";"522155";19
"1137";"522157";16
"1138";"522160";89
"1139";"522170";29,5
"1140";"522180";6
"1141";"522185";269,5
"1142";"522190";9
"1143";"522200";23
"1144";"522205";22
"1145";"522220";24
"1146";"522230";5
"1147";"210005";176
"1148";"210010";15
"1149";"210015";14
"1150";"210020";31
"1151";"210030";38
"1152";"210040";12
"1153";"210043";15
"1154";"210047";46
"1155";"210050";26
"1156";"210055";13
"1157";"210060";90
"1158";"210070";44
"1159";"210080";13,5
"1160";"210083";30
"1161";"210087";11
"1162";"210090";36,5
"1163";"210095";47
"1164";"210100";83
"1165";"210110";14
"1166";"210120";244
"1167";"210125";39
"1168";"210130";31
"1169";"210135";9
"1170";"210140";240
"1171";"210150";29
"1172";"210160";174
"1173";"210170";67
"1174";"210173";10
"1175";"210177";14
"1176";"210180";11
"1177";"210190";26
"1178";"210193";9
"1179";"210197";6
"1180";"210200";51
"1181";"210203";22
"1182";"210207";13
"1183";"210210";35
"1184";"210215";9
"1185";"210220";34
"1186";"210230";23
"1187";"210232";83
"1188";"210235";26
"1189";"210237";17
"1190";"210240";28
"1191";"210250";27
"1192";"210255";14
"1193";"210260";36
"1194";"210270";37
"1195";"210275";18
"1196";"210280";65
"1197";"210290";95
"1198";"210300";620,5
"1199";"210310";23
"1200";"210312";12
"1201";"210315";11
"1202";"210317";17
"1203";"210320";193,5
"1204";"210325";27
"1205";"210330";256,5
"1206";"210340";82,5
"1207";"210350";120,5
"1208";"210355";14
"1209";"210360";124
"1210";"210370";109
"1211";"210375";20
"1212";"210380";51
"1213";"210390";22
"1214";"210400";62
"1215";"210405";67,5
"1216";"210407";9
"1217";"210408";10
"1218";"210409";12
"1219";"210410";29,5
"1220";"210420";31
"1221";"210430";14
"1222";"210440";22
"1223";"210450";24,5
"1224";"210455";19,5
"1225";"210460";29
"1226";"210462";25
"1227";"210465";11
"1228";"210467";70,5
"1229";"210470";6
"1230";"210480";86
"1231";"210490";35
"1232";"210500";56
"1233";"210510";35
"1234";"210515";35
"1235";"210520";16
"1236";"210530";660
"1237";"210535";19
"1238";"210540";205
"1239";"210542";32
"1240";"210545";19
"1241";"210547";12,5
"1242";"210550";43,5
"1243";"210560";42
"1244";"210565";12
"1245";"210570";89,5
"1246";"210580";24
"1247";"210590";26,5
"1248";"210592";14
"1249";"210594";26,5
"1250";"210596";16
"1251";"210598";10
"1252";"210600";39
"1253";"210610";26
"1254";"210620";8
"1255";"210630";35
"1256";"210632";18
"1257";"210635";11
"1258";"210637";19
"1259";"210640";24
"1260";"210650";51
"1261";"210660";33
"1262";"210663";15
"1263";"210667";15
"1264";"210670";24
"1265";"210675";48
"1266";"210680";24
"1267";"210690";22
"1268";"210700";26
"1269";"210710";42
"1270";"210720";15
"1271";"210725";20
"1272";"210730";11
"1273";"210735";30
"1274";"210740";22
"1275";"210745";29
"1276";"210750";127,5
"1277";"210760";45
"1278";"210770";52
"1279";"210780";77,5
"1280";"210790";22,5
"1281";"210800";54
"1282";"210805";24
"1283";"210810";34
"1284";"210820";150
"1285";"210825";34
"1286";"210830";50
"1287";"210840";16
"1288";"210845";31
"1289";"210850";61,5
"1290";"210860";141,5
"1291";"210870";42
"1292";"210880";18
"1293";"210890";55
"1294";"210900";74,5
"1295";"210905";12
"1296";"210910";240
"1297";"210920";20
"1298";"210923";8,5
"1299";"210927";18
"1300";"210930";20
"1301";"210940";18
"1302";"210945";53
"1303";"210950";37
"1304";"210955";7
"1305";"210960";54
"1306";"210970";13
"1307";"210975";6
"1308";"210980";85,5
"1309";"210990";132
"1310";"211000";123,5
"1311";"211003";70
"1312";"211010";34
"1313";"211020";73,5
"1314";"211023";7
"1315";"211027";25
"1316";"211030";27
"1317";"211040";26
"1318";"211050";76
"1319";"211060";48
"1320";"211065";6
"1321";"211070";63
"1322";"211080";23,5
"1323";"211085";21
"1324";"211090";45
"1325";"211100";30
"1326";"211102";25
"1327";"211105";24,5
"1328";"211107";17
"1329";"211110";43
"1330";"211120";204
"1331";"211125";18
"1332";"211130";5852
"1333";"211140";37
"1334";"211150";67
"1335";"211153";27
"1336";"211157";6
"1337";"211160";35
"1338";"211163";15
"1339";"211167";13
"1340";"211170";36
"1341";"211172";21
"1342";"211174";29
"1343";"211176";29,5
"1344";"211178";10
"1345";"211180";32
"1346";"211190";21
"1347";"211195";9
"1348";"211200";37
"1349";"211210";33
"1350";"211220";476
"1351";"211223";50,5
"1352";"211227";8
"1353";"211230";87,5
"1354";"211240";43
"1355";"211245";28
"1356";"211250";48,5
"1357";"211260";30
"1358";"211270";83,5
"1359";"211280";146,5
"1360";"211285";23
"1361";"211290";66,5
"1362";"211300";67,5
"1363";"211400";110
"1364";"310010";23
"1365";"310020";68
"1366";"310030";44
"1367";"310040";11
"1368";"310050";14
"1369";"310060";22
"1370";"310070";9
"1371";"310080";12
"1372";"310090";56,5
"1373";"310100";32
"1374";"310110";81
"1375";"310120";26
"1376";"310130";17
"1377";"310140";7
"1378";"310150";140
"1379";"310160";344,5
"1380";"310163";9
"1381";"310170";86,5
"1382";"310180";12
"1383";"310190";53
"1384";"310200";28
"1385";"310205";10
"1386";"310210";37
"1387";"310220";8
"1388";"310230";47
"1389";"310240";12
"1390";"310250";11
"1391";"310260";140
"1392";"310270";21
"1393";"310280";47
"1394";"310285";15
"1395";"310290";29,5
"1396";"310300";25,5
"1397";"310310";9
"1398";"310320";7
"1399";"310330";7
"1400";"310340";94
"1401";"310350";278,5
"1402";"310360";9
"1403";"310370";18
"1404";"310375";19
"1405";"310380";13
"1406";"310390";16,5
"1407";"310400";283,5
"1408";"310410";23
"1409";"310420";93
"1410";"310430";21
"1411";"310440";6,5
"1412";"310445";10
"1413";"310450";42,5
"1414";"310460";29
"1415";"310470";18,5
"1416";"310480";12
"1417";"310490";108
"1418";"310500";17
"1419";"310510";141
"1420";"310520";8
"1421";"310530";20
"1422";"310540";74
"1423";"310550";31
"1424";"310560";879,5
"1425";"310570";14
"1426";"310590";60,5
"1427";"310600";11,5
"1428";"310610";11
